Unnamed: 0,Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff
86,2024-07-02,19767.44140625,20011.890625,,18997.421875,20675.380859375,-770.01953125,663.490234375
87,2024-07-03,19947.62109375,20186.630859375,,19085.79296875,20211.359375,-861.828125,24.728515625
89,2024-07-05,19845.89453125,20391.970703125,,19281.83203125,20331.490234375,-564.0625,-60.48046875
90,2024-07-08,20095.8515625,20439.5390625,,19328.078125,20386.880859375,-767.7734375,-52.658203125
91,2024-07-09,20160.0390625,20453.01953125,,19443.720703125,20398.619140625,-716.318359375,-54.400390625
92,2024-07-10,19847.6328125,20675.380859375,,19767.44140625,19799.140625,-80.19140625,-876.240234375
93,2024-07-11,20082.63671875,20211.359375,,19947.62109375,19705.08984375,-135.015625,-506.26953125
94,2024-07-12,18503.96875,20331.490234375,,19845.89453125,19522.619140625,1341.92578125,-808.87109375
95,2024-07-15,20218.021484375,20386.880859375,,20095.8515625,19822.869140625,-122.169921875,-564.01171875
96,2024-07-16,20676.48046875,20398.619140625,,20160.0390625,19754.33984375,-516.44140625,-644.279296875
97,2024-07-17,20569.24609375,19799.140625,,19847.6328125,19032.390625,-721.61328125,-766.75
98,2024-07-18,19490.373046875,19705.08984375,,20082.63671875,18830.580078125,592.263671875,-874.509765625
99,2024-07-19,19653.3828125,19522.619140625,,18503.96875,19023.66015625,-1149.4140625,-498.958984375
100,2024-07-22,19585.931640625,19822.869140625,,20218.021484375,19059.490234375,632.08984375,-763.37890625
101,2024-07-23,20201.57421875,19754.33984375,,20676.48046875,18796.26953125,474.90625,-958.0703125
102,2024-07-24,19605.4140625,19032.390625,,20569.24609375,19362.4296875,963.83203125,330.0390625
103,2024-07-25,18901.294921875,18830.580078125,,19490.373046875,18890.390625,589.078125,59.810546875
104,2024-07-26,17888.8046875,19023.66015625,,19653.3828125,18440.849609375,1764.578125,-582.810546875
105,2024-07-29,18889.447265625,19059.490234375,,19585.931640625,17895.16015625,696.484375,-1164.330078125
106,2024-07-30,18364.732421875,18796.26953125,,20201.57421875,18077.919921875,1836.841796875,-718.349609375
107,2024-07-31,18525.185546875,19362.4296875,,19605.4140625,17867.369140625,1080.228515625,-1495.060546875
108,2024-08-01,18940.419921875,18890.390625,,18901.294921875,18413.8203125,-39.125,-476.5703125
109,2024-08-02,18722.328125,18440.849609375,,17888.8046875,18513.099609375,-833.5234375,72.25
110,2024-08-05,18446.986328125,17895.16015625,,18889.447265625,18542.029296875,442.4609375,646.869140625
111,2024-08-06,18251.294921875,18077.919921875,,18364.732421875,19006.4296875,113.4375,928.509765625
112,2024-08-07,17166.125,17867.369140625,,18525.185546875,19022.6796875,1359.060546875,1155.310546875
113,2024-08-08,17689.830078125,18413.8203125,,18940.419921875,19490.150390625,1250.58984375,1076.330078125
114,2024-08-09,18154.568359375,18513.099609375,,18722.328125,19508.51953125,567.759765625,995.419921875
115,2024-08-12,18052.388671875,18542.029296875,,18446.986328125,19766.490234375,394.59765625,1224.4609375
116,2024-08-13,18199.939453125,19006.4296875,,18251.294921875,19719.8203125,51.35546875,713.390625
117,2024-08-14,18642.94921875,19022.6796875,,17166.125,19824.83984375,-1476.82421875,802.16015625
